nms,dataset,var,time,stat
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-01-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-01-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-02-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-02-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-03-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-03-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-04-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-04-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-05-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-05-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-06-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-06-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-07-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-07-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-08-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-08-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-09-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-09-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_10,1993-10-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_10,1993-10-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_100,2001-04-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_100,2001-04-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_101,2001-05-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_101,2001-05-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_102,2001-06-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_102,2001-06-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_103,2001-07-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_103,2001-07-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_104,2001-08-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_104,2001-08-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_105,2001-09-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_105,2001-09-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_106,2001-10-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_106,2001-10-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_107,2001-11-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_107,2001-11-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_108,2001-12-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_108,2001-12-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_109,2002-01-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_109,2002-01-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_11,1993-11-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_11,1993-11-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_110,2002-02-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_110,2002-02-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_111,2002-03-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_111,2002-03-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_112,2002-04-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_112,2002-04-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_113,2002-05-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_113,2002-05-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_114,2002-06-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_114,2002-06-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_115,2002-07-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_115,2002-07-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_116,2002-08-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_116,2002-08-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_117,2002-09-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_117,2002-09-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_118,2002-10-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_118,2002-10-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_119,2002-11-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_119,2002-11-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_12,1993-12-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_12,1993-12-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_120,2002-12-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_120,2002-12-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_121,2003-01-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_121,2003-01-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_122,2003-02-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_122,2003-02-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_123,2003-03-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_123,2003-03-01T00:00:00Z,sd
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_124,2003-04-01T00:00:00Z,mean
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT_124,2003-04-01T00:00:00Z,sd
