nms,dataset,var,time,stat,value
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-01-01T00:00:00Z,mean,5.32694026130311
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-01-01T00:00:00Z,sd,3.811482575459045
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-02-01T00:00:00Z,mean,5.3040474832374995
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-02-01T00:00:00Z,sd,3.831811072322746
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-03-01T00:00:00Z,mean,5.188508302448912
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-03-01T00:00:00Z,sd,3.703577211741352
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-04-01T00:00:00Z,mean,4.891135946391745
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-04-01T00:00:00Z,sd,3.3811993577299564
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-05-01T00:00:00Z,mean,4.758610293110634
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-05-01T00:00:00Z,sd,3.149631878402876
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-06-01T00:00:00Z,mean,4.895000758481786
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-06-01T00:00:00Z,sd,3.2592466606505544
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-07-01T00:00:00Z,mean,4.892772257962125
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-07-01T00:00:00Z,sd,3.267616444168279
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-08-01T00:00:00Z,mean,5.078329990043285
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-08-01T00:00:00Z,sd,3.540180497677291
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-09-01T00:00:00Z,mean,5.27965864887897
CBNMS,cmems_mod_glo_phy_my_0.083deg_P1M-m,bottomT,1993-09-01T00:00:00Z,sd,3.7537275638230576
